,Name,Street Address,Postal Code,Parking Rates
736,Wellington Building,20 Bideford Road,229921,"MON-FRI Before 5/6 PM
*Not for Public 

MON-FRI After 5/6 PM
* 

SAT
* 

SUN / PUBLIC HOLIDAYS
* 

REMARKS
*Not for public 

"
737,Valley Point,491 River Valley Road,248371,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.80 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.50 for 1st hr, $0.80 for next subsequent 30min from 5pm to 8am the following day 

SAT
$1.50 for 1st hr, $0.80 for next subsequent 30min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$1.50 for 1st hr, $0.80 for next subsequent 30min from 8am to 8am the following day 

"
738,The URA Centre (Basement Car Park),45 Maxwell Road,069118,"MON-FRI Before 5/6 PM
$1.40/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.40/30min from 5pm to 10pm 

SAT
$1.40/30min from 7am to 10pm 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
The nearest public car park is the Erskine Road Off-Street Car park next to the Maxwell Road Food Centre 

"
739,UOL Building,96 Somerset Road,238163,"MON-FRI Before 5/6 PM
*Not for public 

MON-FRI After 5/6 PM
* 

SAT
* 

SUN / PUBLIC HOLIDAYS
* 

REMARKS
Carpark close 

"
740,UOB Plaza,80 Raffles Place,048624,"MON-FRI Before 5/6 PM
$3.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 12midnight, $4.00/entry from 12midnight to 7am the following day  

SAT
$4.00/entry from 7am to 12midnight, $4.00/entry from 12midnight to 7am the following day  

SUN / PUBLIC HOLIDAYS
$4.00/entry from 7am to 12midnight, $4.00/entry from 12midnight to 7am the following day  

REMARKS
10min Grace Period, An Additional Charge of $3.50 from 12midnight to 7am the following day 

"
741,United Square Shopping Mall,101 Thomson Road,307591,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $0.50 for next subsequent 15min from 6am to 6pm 

MON-FRI After 5/6 PM
$2.20/entry from 6pm to 6am the following day 

SAT
$2.20 for 1st 2hr, $0.50 for next subsequent 15min from 6am to 6pm, $2.20/entry from 6pm to 6am the following day 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st 2hr, $0.50 for next subsequent 15min from 6am to 6pm, $2.20/entry from 6pm to 6am the following day 

"
742,United House,20 Kramat Lane,228773,"MON-FRI Before 5/6 PM
Private Car Park 

MON-FRI After 5/6 PM
Private Car Park 

SAT
Private Car Park 

SUN / PUBLIC HOLIDAYS
Private Car Park 

"
743,UIC Building,5 Shenton Way,068808,"MON-FRI Before 5/6 PM
Carpark not in use 

MON-FRI After 5/6 PM
Carpark not in use 

SAT
Carpark not in use 

SUN / PUBLIC HOLIDAYS
Carpark not in use 

REMARKS
Carpark not in use 

"
744,The Grandstand,720 Dunearn Road,789631,"MON-FRI Before 5/6 PM
Free Parking 

MON-FRI After 5/6 PM
Free Parking 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

"
745,20 Collyer Quay,20 Collyer Quay,049319,"MON-FRI Before 5/6 PM
$2.50/30min from 6am to 5pm 

MON-FRI After 5/6 PM
$3.20/entry from 5pm to 11pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
Carpark closes at 11pm 

"
746,Tristar Complex (Inn S'pore),970 Geylang Road,423492,"MON-FRI Before 5/6 PM
$0.40/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
747,Hotel Jen at Tanglin,1A Cuscaden Road,249716,"MON-FRI Before 5/6 PM
$2.40 for 1st hr, $1.20 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 7am the following day 

SAT
$2.40 for 1st hr, $1.20 for next subsequent 30min from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7am to 7am the following day 

REMARKS
Rates shown is for the car park at Tanglin Mall, Per entry parking starts after 5pm from Mon to Fri 

"
748,Tong Eng Building,101 Cecil Street,069533,"MON-FRI Before 5/6 PM
$2.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.50/entry 

SAT
$2.50/30min from 7am to 4pm, Car Park closes at 4pm 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
Season Parking At $300.00/mth, $840.00/quarterly 

"
749,Tiong Bahru Plaza,302 Tiong Bahru Road,168732,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $1.00 for next subsequent 30min from 6am to 6pm 

MON-FRI After 5/6 PM
$3.20/entry from 6.01pm to 5.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Season Parking At $180.00/mth 

"
750,Thomson Plaza,301 Upper Thomson Road,574408,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 7pm 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7pm to 12midnight 

SAT
$1.20 for 1st hr, $0.70 for next subsequent 30min from 7am to 11am, $1.00 for next subsequent 30min from 11am to 4pm, $0.70 for next subsequent 30min from 4pm to 11pm 

SUN / PUBLIC HOLIDAYS
$1.20 for 1st hr, $0.70 for next subsequent 30min from 7am to 11am, $1.00 for next subsequent 30min from 11am to 4pm, $0.70 for next subsequent 30min from 4pm to 11pm 

REMARKS
10min grace period 

"
751,Thomson Medical Centre,339 Thomson Road,307677,"MON-FRI Before 5/6 PM
$3.90 for 1st hr, $1.90 for next subsequent 30min from 8am to 8.59pm  

MON-FRI After 5/6 PM
$4.00/entry from 9pm to 8am the following day  

SAT
$3.50 for 1st hr, $1.70 for next subsequent 30min from 8am to 3pm  

SUN / PUBLIC HOLIDAYS
$3.50 for 1st hr, $1.70 for next subsequent 30min from 8am to 3pm  

"
752,The Riverwalk,20 Upper Circular Road,055416,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7.01am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5.01pm to 12am the following day, $5.00/entry from 12.01am to 7am 

SAT
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7.01am to 3pm, $3.00/entry from 3.01pm to 12am the following day, $5.00/entry from 12.01am to 7am 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7.01am to 12am the following day, $5.00/entry from 12.01am to 7am 

"
753,The Plaza,7500 Beach Road,199590,"MON-FRI Before 5/6 PM
$6.00 for 1st hr, $2.00 for next subsequent hr from 7am to 4.59pm 

MON-FRI After 5/6 PM
$6.00/entry from 5pm to 6.59am the following day 

SAT
$6.00 for 1st hr, $2.00 for next subsequent hr from 7am to 12.59pm, $6.00/entry from 1pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$6.00/entry from 7am to 7am the following day 

"
754,The Heeren,260 Orchard Road,238855,"MON-FRI Before 5/6 PM
$1.61/30min from 8am to 11pm 

MON-FRI After 5/6 PM
$1.61/30min from 8am to 11pm 

SAT
$5.35 for 1st 3hr, $1.61 for next subsequent 30min from 8am to 11pm  

SUN / PUBLIC HOLIDAYS
$5.35 for 1st 3hr, $1.61 for next subsequent 30min from 8am to 11pm 

"
755,InterContinental Robertson Quay,1 Nanson Road,238909,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 10pm, $1.50 for next subsequent 30min from 10pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min Grace Period 

"
756,Claymore Plaza,6 Claymore Hill,229571,"MON-FRI Before 5/6 PM
$1.50/30min from 9am to 7pm 

MON-FRI After 5/6 PM
Car Park closed after 7pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

"
757,The Concourse,298 Beach Road,199554,"MON-FRI Before 5/6 PM
$3.21 for 1st hr, $1.605 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$4.28/entry from 5pm to 7am the following day 

SAT
$3.20 for 1st hr, $1.50 for next subsequent 30min from 7am to 12pm, $4.28/entry from 12pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$4/entry after 5pm. 

"
758,The Adelphi,1 Coleman Street,179803,"MON-FRI Before 5/6 PM
$2.40 for 1st hr, $1.20 for next subsequent 30min from 6am to 5pm 

MON-FRI After 5/6 PM
$3.21/entry from 5pm to 1am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.21/entry from 6am to 1am the following day 

REMARKS
Carpark closed from 1am to 6am daily 

"
759,Textile Centre,200 Jalan Sultan,199018,"MON-FRI Before 5/6 PM
$2.20/hr from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 7.59am the following day 

"
760,TelePark,5 Tampines Central 6,529482,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 10pm 

MON-FRI After 5/6 PM
$1.00/30min from 10.01pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
$22.00 additional surcharge for exiting between 10.01pm to 6.59am the following day 

"
761,Tekka Place,2 Serangoon Road,218227,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6pm  

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 12midnight, $1.00/30min from 12midnight to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
762,Tanjong Pagar Complex,7 Keppel Road,089053,"MON-FRI Before 5/6 PM
$1.29 for 1st 30min, $0.43 for every 10min thereafter from 7am to7pm 

MON-FRI After 5/6 PM
$2.14/entry from 7pm to 7am the following day 

SAT
$1.29 for 1st 30min, $0.43 for every 10min thereafter from 7am to 1pm, $2.14/entry from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.14/entry from 7am to 7am the following day 

"
763,Tanjong Katong Complex,845 Geylang Road,400845,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

REMARKS
HDB coupon parking 

"
764,Tang Plaza,320 Orchard Road,238865,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $0.05/min up to a maximum charge of $18.00 from 6am to 6pm  

MON-FRI After 5/6 PM
$6.00/entry from 6pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season Parking At $190.00/mth, Whole day parking charges capped at $18.00 from 6am to 6am the following day 

"
765,Tanglin Shopping Centre,19 Tanglin Road,247909,"MON-FRI Before 5/6 PM
$3.50 for 1st hr, $1.75 for next subsequent 30min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.60/entry from 6pm to 7.59am the following day 

SAT
Charges same as Weekdays 

SUN / PUBLIC HOLIDAYS
$3.60/entry from 8am to 7.59am the following day 

"
766,Tanglin Mall,163 Tanglin Road,247933,"MON-FRI Before 5/6 PM
$2.40 for 1st hr, $1.20 for subsequent 30min from 6.01am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5.01pm to 6am the following day 

SAT
$2.40 for 1st hr, $1.20 for subsequent 30min from 6.01am to 1pm, $3.50/entry from 1.01pm to 6am the following day 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 6.01am to 6am the following day 

"
767,Tanah Merah Ferry Terminal,50 Tanah Merah Ferry Road,498833,"MON-FRI Before 5/6 PM
$1.50/hr up to a maximum charge of $28/day 

MON-FRI After 5/6 PM
$1.50/hr up to a maximum charge of $28/day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
768,Tan Tock Seng Hospital (TTSH),11 Jalan Tan Tock Seng,308433,"MON-FRI Before 5/6 PM
$0.04/min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.40/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.40/entry from 7am to 7am the following day 

REMARKS
15min grace period 

"
769,Safra Tampines,1 Tampines Street 92,528882,"MON-FRI Before 5/6 PM
(For Member): $0.95 for 1st hr, $0.24 for next subsequent 15min, (For Public): $2.05 for 1st hr, $0.52 for next subsequent 15min from 6am to 5.59pm 

MON-FRI After 5/6 PM
(For Member): $1.90/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
(For Member): $1.90/entry, (For Public): $4.00/entry from 6am to 5.59am the following day 

"
770,Tampines Plaza,5 Tampines Central 1,529541,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.50/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 7am to 7am the following day 

REMARKS
Season Parking At $336.42/quarterly 

"
771,Tampines Mart,11 Tampines Street 32,529287,"MON-FRI Before 5/6 PM
$0.70/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$0.70/30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
30min grace period 

"
772,Tampines Mall,4 Tampines Central 5,529510,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Fri and Eve of PH 

MON-FRI After 5/6 PM
$2.57/entry from 6pm to 11.59pm from Mon to Thurs, $2.57/entry from 6 pm to 2.59am on Fri and Eve of PH 

SAT
$2.57 for 1st 2hr, $0.43 for next subsequent 15min from 3am to 5.59pm. $2.57/entry from 6pm to 2.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.57 for 1st 2hr, $0.43 for next subsequent 15min from 3am to 5.59pm. $2.57/entry from 6pm to 11.59pm 

REMARKS
10min grace period. Carpark closes at 12midnight from Mon to Thur, Sun and PH, 3am on Fri, Sat, eve of PH. Vehicle park 

"
773,"Takashimaya, Ngee Ann City",391 Orchard Road,238872,"MON-FRI Before 5/6 PM
$1.28/30min (from 12.01am-12pm & 2.01pm-5pm) $1.82/30min (from 12.01pm-2pm) 

MON-FRI After 5/6 PM
$1.82/30min (from 12.01pm-2pm & 5.01pm-7pm), $4.28/entry from (7.01pm-12midnight) 

SAT
$2.57 for 1st hr, $1.61/30min (from 12.01am-12pm & 2.01pm-5pm), $3.64 for 1st hr, $2.14/30min (from 12.01pm-2pm & 5.01pm-7pm), $4.28/entry from (7.01pm-12midnight) 

SUN / PUBLIC HOLIDAYS
$2.57 for 1st hr, $1.61/30min (from 12.01am-12pm & 2.01pm-5pm), $3.64 for 1st hr, $2.14/30min (from 12.01pm-2pm & 5.01pm-7pm), $4.28/entry from (7.01pm-12midnight) 

REMARKS
Season Parking At $1070/quarterly 

"
774,Swissotel The Stamford Hotel,2 Stamford Road,178882,"MON-FRI Before 5/6 PM
$2.20 for 1st 1hr, $0.55 for next subsequent 15min from 8am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 8am the following day 

SAT
$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 8am the following day 

REMARKS
Rates shown is for the car park at Raffles City Shopping Centre, Valet parking at $8.00/entry + Raffles City charges 

"
775,Swissotel Merchant Court Hotel,20 Merchant Road,058281,"MON-FRI Before 5/6 PM
$4.50 for 1st hr, $1.50 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$4.50 for 1st hr, $1.50 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
776,Suntec City Mall,3 Temasek Boulevard,038983,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $1.10 for subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.20/entry from 5pm to 7am the following day 

SAT
$1.10/hr from 7am to 5pm, $2.80/entry from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.10/hr from 7am to 5pm, $2.80/entry from 5pm to 7am the following day 

"
777,Sunshine Plaza,91 Bencoolen Street,189652,"MON-FRI Before 5/6 PM
(Mon-Thurs) $2.00 for 1st hr, $0.04 for next subsequent min from 7am to 9pm 

MON-FRI After 5/6 PM
(Mon-Thurs) $5.00/entry from 9pm to 7am the following day 

SAT
(Fri-Sat) $2.20 for 1st hr, $0.04 for next subsequent min from 7am to 9pm, $5.00/entry from 9pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st hr, $0.04 for next subsequent min from 7am to 9pm, $5.00/entry from 9pm to 7am the following day 

REMARKS
10min grace period 

"
778,Sun Plaza,30 Sembawang Drive,757713,"MON-FRI Before 5/6 PM
$1.39 for 1st hr, $0.75 for subsequent 30min from 7am to 4.59pm 

MON-FRI After 5/6 PM
$2.68/entry from 5pm to 10.59pm, $3.96/entry from 11pm to 6.59am the following day 

SAT
Charges same as Weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as Weekdays 

REMARKS
Season Parking At $160.50/mth 

"
779,Sultan Plaza,100 Jalan Sultan,199001,"MON-FRI Before 5/6 PM
$1.80/hr from 8am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 12midnight, $3.00/entry from 12midnight to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 8am the following day 

REMARKS
$135/mth season parking 

"
780,51 Cuppage Road,51 Cuppage Road,29469,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day 

SAT
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm, $2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 5pm, $2.00 for 1st hr, $1.50 for next subsequent hr from 5pm to 7am the following day 

"
781,St Luke Hospital,2 Bukit Batok Street 11,659674,"MON-FRI Before 5/6 PM
$1.50/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.50/hr from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
782,St Andrew's Community Hospital,8 Simei Street 3,529895,"MON-FRI Before 5/6 PM
$1.20/hr, $0.70 for next subsequent 30min from 8am to 5pm  

MON-FRI After 5/6 PM
$1.20/hr, $0.70 for next subsequent 30min from 5pm to 8am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
783,Springleaf Tower,3 Anson Road,079909,"MON-FRI Before 5/6 PM
Season Parking Only 

MON-FRI After 5/6 PM
Season Parking Only 

SAT
Season Parking Only 

SUN / PUBLIC HOLIDAYS
Season Parking Only 

REMARKS
Season Parking At $267.50/mth For Tenants, $299.60 for Non Tenants 

"
784,SPRING Singapore,2 Bukit Merah Central,159835,"MON-FRI Before 5/6 PM
$0.50/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 7am the following day 

SAT
$0.50/30min from 7am to 1pm, $2.50/entry from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 7am to 7am the following day 

"
785,South Point,200 Cantonment Road,089763,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $2.00 for next subsequent 30min from 8am to 10pm 

MON-FRI After 5/6 PM
$3.00/entry from 10pm to 8am the follwoing day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$5.00/entry from 8am to 8am the following day  

"
786,Rochester Park,2 Rochester Park,139213,"MON-FRI Before 5/6 PM
$1.00/hr from 6am to 11pm 

MON-FRI After 5/6 PM
$2.00/entry from 11pm to 6am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
787,Singapore Shopping Centre,190 Clemenceau Avenue,239924,"MON-FRI Before 5/6 PM
$2.50 for 1st hr, $1.25 for next subsequent 30min from 8.01am to 8pm 

MON-FRI After 5/6 PM
$3.00/entry from 8.01pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
788,TripleOne Somerset,111 Somerset Road,238164,"MON-FRI Before 5/6 PM
$1.50/30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.30/entry from 6pm to 11.59pm, $0.50/15min from 12midnight to 6.59am the following day 

SAT
$2.00 for 1st hr, $0.50 for next subsequent 15min from 7am to 5.59pm, $2.30/entry from 6pm to 11.59pm, $0.50/15min from 12midnight to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.00 for 1st hr, $0.50 for next subsequent 15min from 7am to 5.59pm, $2.30/entry from 6pm to 11.59pm, $0.50/15min from 12midnight to 6.59am the following day 

"
789,SingPost Centre,10 Eunos Road 8,408600,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.80 for next subsequent 30min from 6am to 6pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 6am the following day 

SAT
$1.50 for 1st hr, $0.80 for next subsequent 30min from 6am to 1pm, $2.50/entry from 1pm to 6am the following day 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 6am to 6am the following day 

REMARKS
10min grace period 

"
790,Singapore Management University (SMU),50 Stamford Road,178899,"MON-FRI Before 5/6 PM
$2.40/hr from 12midnight to 10.59am, $3.00/hr from 11am to 1.59pm, $2.40/hr from 2pm to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 11.59pm 

SAT
$2.40/hr from 12midnight to 5.59pm, $3.00/entry from 6pm to 11.59pm 

SUN / PUBLIC HOLIDAYS
$2.40/hr from 12midnight to 5.59pm, $3.00/entry from 6pm to 11.59pm 

REMARKS
SMU car parks are located at Lee Kong Chian Business School and SMU Administration Building, car park entrance is closed at 12midnight and opens at 6am daily 

"
791,Singapore General Hospital (SGH),1 Hospital Drive,169608,"MON-FRI Before 5/6 PM
$2.16/hr for Carpark C and I from 7am to 9.59pm, $1.08/hr for Carpark H from 7am to 9.59pm 

MON-FRI After 5/6 PM
$2.14/entry from 10pm to 6.59am the following day for Carpark C, I and H. 

SAT
Charges same as weekdays  

SUN / PUBLIC HOLIDAYS
$2.14/hr from 7.00am to 9:59pm, $2.14/entry from 10pm to 6.59am the following day for Carpark C and I, $2.14/entry from 7am to 6.59am the following day for Carpark H 

REMARKS
Valet parking at $3.00 for 1st 2hr, $1.20 for next subsequent hr, 10min grace period 

"
792,Singapore Expo,1 Expo Drive,486150,"MON-FRI Before 5/6 PM
$3.20 for 1st 2hr, $1.50 for next subsequent 30min 

MON-FRI After 5/6 PM
$3.20 for 1st 2hr, $1.50 for next subsequent 30min 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Subject up to a maximum charge of $20.00/day 

"
793,Singapore Conference Hall,7 Shenton Way,068810,"MON-FRI Before 5/6 PM
Carpark closed 

MON-FRI After 5/6 PM
Carpark closed 

SAT
Carpark closed 

SUN / PUBLIC HOLIDAYS
Carpark closed 

REMARKS
Carpark closed 

"
794,Sim Lim Tower,10 Jalan Besar,208787,"MON-FRI Before 5/6 PM
$1.90/30min all day 

MON-FRI After 5/6 PM
Charges same as weekdays 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
795,Sim Lim Square,1 Rochor Canal Road,188504,"MON-FRI Before 5/6 PM
$1.80/30min for 1st hr, $0.06/min from 3am to 6pm 

MON-FRI After 5/6 PM
$3/entry from 6pm to 3am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Loading bay(mon-sat)-$1/15min from 9am to 7pm, Sun/PUH - closed 

"
796,Siglap Centre,55 Siglap Road,455871,"MON-FRI Before 5/6 PM
$0.82/30min from 8am to 5pm  

MON-FRI After 5/6 PM
$0.82/30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
797,Singapore Institute of Architects (SIA),79 Neil Road,088904,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

REMARKS
Visitors may like to park at the open car parks opposite SIA and also along Neil Rd, covered car parking by cashcard available at Craig Place 

"
798,Sheraton Towers Singapore,39 Scotts Road,228230,"MON-FRI Before 5/6 PM
$4.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$6.00/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$6.00/entry from 7am to 7am the following day 

REMARKS
Whole day parking at $26.00 available from Mon to Sat 

"
799,Shenton House,3 Shenton Way,068805,"MON-FRI Before 5/6 PM
$3.21/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$3.21/entry from 5pm to 8am the following day 

SAT
$3.21/30min from 8am to 2pm, $3.21/entry from 2pm to 8am the following day 

SUN / PUBLIC HOLIDAYS
$3.21/entry from 8am to 8am the following day 

REMARKS
No grace period 

"
800,Shaw Plaza,352 Balestier Road,329780,"MON-FRI Before 5/6 PM
$1.20/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$2.00/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
801,Shaw House,350 Orchard Road,238868,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 3am to 6pm  

MON-FRI After 5/6 PM
$4.00/entry from 6.01pm to 3am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, $802.50 season parking quarterly 

"
802,Shaw Centre,1 Scotts Road,228208,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 3.01am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6.01pm to 3am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, $802.50 season parking quarterly 

"
803,Shangri-La Hotel,22 Orange Grove Road,258350,"MON-FRI Before 5/6 PM
$6.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$8.00/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Valet parking available at $12.00/entry (cash only) from 7am to 12midnight daily, Free Valet Parking For 1st 15min 

"
804,SGX Centre,2 Shenton Way,068804,"MON-FRI Before 5/6 PM
$2.50/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 10pm 

SAT
$3.00/entry from 7am to 10pm 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 10pm 

REMARKS
Car Park closes at 10pm daily 

"
